 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
140,20190816_foci_10ugml_60min_03.TIF:0008-0317-0171:8,32,5777.094,4032,9325,171.218,316.970,18.850,184867.000,184867.000,8
141,20190816_foci_10ugml_60min_03.TIF:0008-0322-0168:8,32,6001.031,4032,9256,168.164,322.181,18.850,192033.000,192033.000,8
142,20190816_foci_10ugml_60min_03.TIF:0008-0310-0149:8,32,5476.250,3960,8170,149.094,310.169,18.850,175240.000,175240.000,8
143,20190816_foci_10ugml_60min_03.TIF:0009-0319-0167:9,32,6049.906,4033,10889,167.145,319.021,18.850,193597.000,193597.000,9
144,20190816_foci_10ugml_60min_03.TIF:0009-0324-0158:9,32,5347.844,3881,9169,158.087,324.110,18.850,171131.000,171131.000,9
145,20190816_foci_10ugml_60min_03.TIF:0007-0338-0068:7,32,6041.250,4538,8309,68.145,338.132,18.850,193320.000,193320.000,7
146,20190816_foci_10ugml_60min_03.TIF:0004-0353-0394:4,32,8896.281,4528,13151,394.315,353.198,18.850,284681.000,284681.000,4
147,20190816_foci_10ugml_60min_03.TIF:0004-0344-0412:4,32,8630.656,5415,12545,412.078,343.990,18.850,276181.000,276181.000,4
148,20190816_foci_10ugml_60min_03.TIF:0005-0353-0395:5,32,7396.844,4137,11775,394.978,353.308,18.850,236699.000,236699.000,5
149,20190816_foci_10ugml_60min_03.TIF:0005-0345-0412:5,32,6860.969,4454,10414,412.146,345.162,18.850,219551.000,219551.000,5
150,20190816_foci_10ugml_60min_03.TIF:0006-0343-0419:6,32,6855.000,4046,9837,419.106,343.277,18.850,219360.000,219360.000,6
151,20190816_foci_10ugml_60min_03.TIF:0007-0332-0399:7,32,6364.000,3906,10991,398.880,332.057,18.850,203648.000,203648.000,7
152,20190816_foci_10ugml_60min_03.TIF:0006-0374-0191:6,32,9123.562,4206,14357,191.453,374.029,18.850,291954.000,291954.000,6
153,20190816_foci_10ugml_60min_03.TIF:0006-0359-0224:6,32,4987.938,3245,8192,224.056,359.168,18.850,159614.000,159614.000,6
154,20190816_foci_10ugml_60min_03.TIF:0007-0359-0207:7,32,8945.188,4474,16740,206.949,359.238,18.850,286246.000,286246.000,7
155,20190816_foci_10ugml_60min_03.TIF:0007-0377-0198:7,32,10446.125,7243,14330,198.142,377.093,18.850,334276.000,334276.000,7
156,20190816_foci_10ugml_60min_03.TIF:0008-0361-0208:8,32,9086.500,4042,15728,208.113,360.858,18.850,290768.000,290768.000,8
157,20190816_foci_10ugml_60min_03.TIF:0008-0338-0220:8,32,7948.281,4122,14923,220.113,338.227,18.850,254345.000,254345.000,8
158,20190816_foci_10ugml_60min_03.TIF:0008-0344-0204:8,32,8506.312,3825,16832,204.430,344.382,18.850,272202.000,272202.000,8
159,20190816_foci_10ugml_60min_03.TIF:0008-0354-0214:8,32,6401.188,3910,11237,214.089,353.997,18.850,204838.000,204838.000,8
160,20190816_foci_10ugml_60min_03.TIF:0008-0371-0191:8,32,7111.594,3702,10759,191.397,370.964,18.850,227571.000,227571.000,8
161,20190816_foci_10ugml_60min_03.TIF:0008-0357-0197:8,32,5668.281,3674,8700,197.208,357.110,18.850,181385.000,181385.000,8
162,20190816_foci_10ugml_60min_03.TIF:0009-0359-0198:9,32,6630.781,3713,11219,198.213,359.053,18.850,212185.000,212185.000,9
163,20190816_foci_10ugml_60min_03.TIF:0009-0344-0219:9,32,5208.688,3835,8593,219.139,344.133,18.850,166678.000,166678.000,9
164,20190816_foci_10ugml_60min_03.TIF:0009-0377-0198:9,32,6969.969,4816,8720,198.093,377.016,18.850,223039.000,223039.000,9
165,20190816_foci_10ugml_60min_03.TIF:0010-0364-0215:10,32,8506.250,5139,13396,215.186,363.951,18.850,272200.000,272200.000,10
